course,0.0514
old,0.0512
attention,0.0507
possible,0.0507
national,0.0505
disbursement,0.0502
search,0.0497
exchange,0.049
inform,0.0488
first,0.0485
move,0.0483
colleagues,0.0483
months,0.0483
official,0.048
war,0.048
children,0.0468
news,0.0466
great,0.0466
general,0.0466
process,0.0464
benefit,0.0464
able,0.0461
modalities,0.0461
hundred,0.0461
utmost,0.0459
provide,0.0456
contractor,0.0454
class,0.0449
mutual,0.0449
entire,0.0444
future,0.0439
remittance,0.0437
color,0.0437
look,0.0437
west,0.0435
handle,0.0432
members,0.0432
solicit,0.0432
order,0.043
countries,0.043
party,0.043
discovery,0.0427
branch,0.0423
cooperation,0.0423
charge,0.0423
percentage,0.0423
services,0.0415
balance,0.0413
petroleum,0.041
care,0.041
abacha,0.0408
parties,0.0403
cote,0.0401
mother,0.0401
conclusion,0.0396
profitable,0.0396
nature,0.0396
notice,0.0391
act,0.0389
call,0.0389
indicate,0.0386
surprise,0.0384
man,0.0379
cash,0.0379
safety,0.0377
ready,0.0377
dormant,0.0377
treat,0.0377
nigerian,0.0374
people,0.0372
corporation,0.0372
child,0.0372
local,0.0369
subsequent,0.0367
desk,0.0367
purpose,0.0367
companies,0.0365
europe,0.0365
margin,0.0365
write,0.0362
contracts,0.0362
bills,0.0362
apply,0.036
chief,0.036
twenty,0.036
msn,0.0357
relatives,0.0357
management,0.0355
execution,0.0348
asylum,0.0348
farmers,0.0345
house,0.0345
attn,0.0343
properties,0.0343
white,0.0338
fear,0.0338
diplomatic,0.0333
ivoire,0.0331
home,0.0331
reach,0.0331
capable,0.0328
claims,0.0328
officer,0.0328
health,0.0328
bring,0.0326
rest,0.0326
several,0.0326
venture,0.0326
assure,0.0326
contractors,0.0324
secure,0.0324
names,0.0324
lord,0.0321
open,0.0321
bbc,0.0321
arrangements,0.0321
invest,0.0321
agree,0.0319
discuss,0.0319
messenger,0.0316
operate,0.0316
bless,0.0316
furnish,0.0316
johannesburg,0.0314
regard,0.0314
meet,0.0314
member,0.0311
charles,0.0311
real,0.0311
abidjan,0.0309
reasons,0.0309
charity,0.0304
problem,0.0302
hope,0.0299
thirty,0.0299
land,0.0297
approval,0.0297
agreement,0.0295
decision,0.0295
lawyer,0.0292
positive,0.0292
much,0.0292
custody,0.0292
mime,0.029
hitch,0.029
site,0.0287
require,0.0287
relationship,0.0287
actual,0.0287
assurance,0.0285
senegal,0.0285
visit,0.0282
ghana,0.0282
vous,0.028
understand,0.028
advice,0.028
committee,0.028
web,0.0278
sure,0.0278
acceptance,0.0278
line,0.0278
kind,0.0278
zimbabwe,0.0278
barrister,0.0275
investments,0.0275
willingness,0.0275
partnership,0.0275
lagos,0.0273
ask,0.0273
age,0.027
file,0.0268
payments,0.0268
proposition,0.0268
liberia,0.0268
thank,0.0268
guidelines,0.0266
side,0.0266
capital,0.0266
offer,0.0266
applies,0.0263
support,0.0263
result,0.0263
laws,0.0263
accident,0.0263
farms,0.0263
live,0.0261
incurred,0.0261
chairman,0.0261
important,0.0261
success,0.0261
second,0.0261
high,0.0258
legitimate,0.0258
effect,0.0258
arial,0.0256
partners,0.0256
lot,0.0254
medium,0.0254
introduce,0.0254
everything,0.0254
central,0.0251
plc,0.0251
change,0.0249
leone,0.0249
net,0.0249
ownership,0.0249
date,0.0246
credit,0.0246
right,0.0244
dakar,0.0244
boxes,0.0244
start,0.0244
